region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,total_days,yield_kg_per_hectare,NDVI_index,crop_disease_status,crop_duration_days,Stress_Index,water_index,Fertility_Index,temp_humidity_index
South India,Wheat,-1.3175812938733698,-0.28032089688174255,-0.22564412774419043,-0.20666827020025597,0.7694412711734162,0.5975581019288166,Drip,Organic,-0.2628646667179271,1.5197924257214528,-1.3601841317320504,-0.2971010348563245,Moderate,1.5197924257214528,0.1790190766369881,-0.9315852587507422,-1.3201758006005122,0.374040874593108
South USA,Rice,1.3668638406262035,-1.4940532836730447,1.2134748716693038,1.139620484097414,-1.387351926267248,0.5206340201246601,Drip,Organic,1.524200789252843,-0.20832788269770194,-0.07702222233241375,-1.1531355186912993,Severe,-0.20832788269770194,-0.8681115196838862,2.0379736134452004,0.8112925669531932,-0.4129880175928074
South USA,Maize,1.5463528246375637,0.9334114899095596,-0.7440263941129002,0.5879785631756905,0.774910160422077,0.9880957480114609,Sprinkler,Organic,-0.9884572171481466,0.4471660273923223,0.7756376220655871,0.2735886210336584,Mild,0.4471660273923223,-0.6048205323175314,1.614654154983233,1.8532511287944653,-0.04439050225423723
North India,Soybean,-1.3757672831957337,-1.1179671919912333,0.4162516028134538,0.5139001425699873,-0.9183946731945711,-1.3669646026081206,Sprinkler,Mixed,0.3914575600545696,-0.20832788269770194,0.5084670637583295,-1.0389975875133028,Moderate,-0.20832788269770194,-0.5913100241770515,-0.7329584013730054,-1.4682613854469067,-0.42641060941925696
South India,Maize,-0.2860127374124755,0.5402305758785737,-0.6878839103906571,-0.7289557515548595,0.8473729429668349,-1.532647240340151,Sprinkler,Mixed,1.769855947392228,0.26839496100413385,-1.0060079886866928,-1.495549312225289,Mild,0.26839496100413385,0.3150622306133029,-0.636058274397894,-0.16830973793553197,0.04566234341344768
Central USA,Maize,-1.107520010387547,1.1043597134012917,0.822348901737678,0.2940187744917499,1.6519832736760776,0.5265512571865182,Drip,Mixed,1.1511688824485928,-1.4001349919522914,1.468383792790368,0.8442782769236413,Mild,-1.4001349919522914,0.5560299455122831,-0.610967885517231,-0.9343472916605129,1.9740251717558877
Central USA,Maize,0.43588801146837963,0.7111787993703073,-1.0490672223370865,0.3721126608872953,-0.8199546667186737,-0.05925521193744828,Drip,Organic,0.5271744529772543,-1.7576771247286684,-0.5955185718987187,0.787209311334643,Severe,-1.7576771247286684,-0.9386050704256785,0.5616049596058905,0.6173782133157518,-1.1788325150377954
East Africa,Wheat,-1.2653125238041276,1.4804458050831033,0.7755634986358089,-1.3074597539672488,-1.5992713846528601,-0.4793790433293837,Sprinkler,Inorganic,-1.2015099931887858,1.6389731366469118,1.4484649005947432,-0.8677906907463078,Severe,1.6389731366469118,0.5586842990717774,-1.2878382446020502,-1.0585782216238264,-0.8001481410047206
Central USA,Soybean,1.399408546518373,-0.36579500862761016,0.511693825141267,-1.2883516753811048,1.4557868718803655,1.278040364042515,Sprinkler,Inorganic,-1.5517960520171674,1.2218406484078055,1.440717244195161,-1.3814113810472926,Severe,1.2218406484078055,1.8053045082447303,-0.4431713091474868,1.2379951436390413,1.5219500884103723
South USA,Rice,-0.9625481386860641,1.3949716933372371,-0.5026137141072556,1.0169410810008659,1.2561724143042405,-1.0000959047729092,Sprinkler,Inorganic,-0.5168599691151304,-0.7446410818622673,-0.5355573367270364,0.10238172426666334,Severe,-0.7446410818622673,-0.4466314924674857,-0.19625830023280086,-0.7359790251872723,0.4605166194538684
North India,Maize,-1.0355271761412324,1.5488250944797963,-0.8170116229518161,-1.4481395209492949,-0.23683435058019978,0.7928269249701388,Manual,Inorganic,0.4316418914786049,-0.3275085936231609,1.3339717560231426,-1.7238251745812825,Mild,-0.3275085936231609,0.8560539552229083,-1.274467857575377,-0.7946126087248229,-0.7024454137371935
Central USA,Cotton,-1.4102843955056108,0.5231357535294008,-0.575598942946171,-0.7367097544593817,1.176189909042575,0.7632407396608483,Manual,Mixed,-0.5813065383800923,-0.2679182381604314,0.6442769175217393,1.4720368984026226,Mild,-0.2679182381604314,0.6998140636366663,-1.1531691656067524,-1.3220504325702072,0.34528088054835115
East Africa,Soybean,-0.6134322027518798,0.1299548394984148,-1.808862168711441,-0.8301731823263904,-0.2532410183261823,0.26619282646475567,Manual,Inorganic,-0.12942235859282938,0.1492142500786749,-0.11948517522869274,0.5589334489786496,Moderate,0.1492142500786749,-0.49846184938031746,-0.8384509082545109,-0.5765629224468206,-1.361170857366731
East Africa,Soybean,-0.4950878176894446,1.0530752463537716,1.0001334335247805,0.5055922823151418,-0.9546260644669501,-1.0888544607007826,Drip,Organic,-0.8011830688134923,1.4602020702587233,0.8873010395473515,-1.0389975875133028,Severe,1.4602020702587233,-0.513642125905573,-0.05392349489007832,-0.28622098660148254,-0.13648939700834603
South USA,Cotton,-0.8096866413137518,0.48894610883105344,-1.7901480074706935,0.7761515979479351,0.909581558170353,-1.4143024991029867,Sprinkler,Organic,-1.0369816928300004,-0.02955681630951353,-1.5615123955544115,-1.267273449869296,Severe,-0.02955681630951353,-0.8612696327214522,-0.17070381486872305,-0.7130698111714918,-0.8370722174222561
East Africa,Soybean,0.40334330557620973,1.4975406274322778,1.5260013643897892,0.29734191859368814,0.7359443245253673,-8.284131886550704e-05,Sprinkler,Organic,0.9002063597815052,-0.8042314373249967,0.8303229504041106,-0.06882517250033172,Mild,-0.8042314373249967,0.3150807172144545,0.4792603537908248,0.7931149890279817,1.7670535853499643
Central USA,Cotton,-1.3846431120754163,-0.7760707450077675,-0.7945546294629187,-0.7166324255101721,0.12411233983142377,-1.3018749949276798,Sprinkler,Inorganic,0.7311288898275458,-1.5193157028777504,-0.3183075963871626,-1.0389975875133028,Severe,-1.5193157028777504,0.10831165731166614,-1.135034136318953,-1.4385139749081028,-0.4728712979257113
South USA,Soybean,1.6134146428396103,-1.6820963295139513,1.4848302096601445,0.16940087066907145,-0.09190878549068418,1.556150505949853,Manual,Inorganic,1.2755128513833425,1.043069582019617,0.7718788580697504,-0.06882517250033172,Severe,1.043069582019617,-0.050340426095100956,1.2120313704621124,0.9499015843562529,0.9473229578726908
Central USA,Cotton,0.8481209527691957,1.1214545357504646,1.6308006673379765,1.5714907530117852,0.10360400514894441,1.4259712905889712,Drip,Organic,0.5559858604133552,-0.02955681630951353,-1.1131455474795922,-0.5824458628013163,Severe,-0.02955681630951353,-0.4494074613536397,1.9379047903218498,1.1712470184076111,1.2366821739314615
Central USA,Cotton,-0.7810867482569968,-1.4769584613238718,-1.7377483559965998,0.0438137164833278,1.6957343876653652,-0.5503858880716828,Drip,Mixed,-1.4994806016726692,-1.0425928591759146,1.1284756110353296,0.5589334489786496,Mild,-1.0425928591759146,-0.43746021920990785,-0.49502000033918075,-1.0037869688610397,-0.4408369084089887
South USA,Maize,0.9950652308883864,-1.1692516590387534,0.4611655897912485,0.7656283082917975,-1.3306122003123906,1.1182749633723428,Manual,Organic,0.33762571984501305,0.8047081601686992,1.3630190750657998,-1.438480346636291,Mild,0.8047081601686992,-0.8799392900633588,1.3416397160889237,0.6000323279034939,-0.7275860875467292
North India,Maize,1.283036567873645,0.3009030629901484,-1.3578508828094225,1.5822909713430835,0.9526490610035577,-0.562220362195399,Sprinkler,Mixed,-0.3720447370020981,-0.5062796600113494,-1.689583116192606,1.5861748295806193,Severe,-0.5062796600113494,-0.9631825228978617,2.4041902417412317,1.3570704663728557,-0.4540910208187437
South India,Cotton,-1.044403005020915,0.027385905403375828,0.6239787925857532,0.30869599427530986,1.4209227029201525,0.9585095627021704,Sprinkler,Inorganic,1.180738484817222,-0.5658700154740788,1.1710323199496453,-0.18296310367832844,Severe,-0.5658700154740788,0.370241986289808,-0.5595382281424881,-1.0169551874409124,1.5968475533572182
East Africa,Soybean,0.6548251238338848,-0.6051225215160354,0.04009696187442647,-0.6983551329495127,-0.05567739421830577,-0.5326341768861078,Manual,Inorganic,-0.6829046593389738,1.5793827811841823,-0.790837927292361,-0.9248596563353061,Severe,1.5793827811841823,0.13470364503331958,-0.1795421501673826,0.4651696199371129,-0.008051523385457062
South USA,Soybean,0.9654791346227772,0.6086098652752668,0.6071360474690803,-0.12428198933970719,0.9881968411198546,-1.4616403955978525,Sprinkler,Inorganic,0.7235469405022565,0.4471660273923223,-0.47461592500315164,-0.5824458628013163,Severe,0.4471660273923223,0.3093121845094077,0.4951333981602516,1.1355300351426165,1.2294751980322434
Central USA,Maize,-0.7840453578835573,-1.3401998825304855,-1.0902383770667312,-1.4095079707642644,0.10907289439760622,0.9111716662073044,Sprinkler,Organic,-0.8982320201771997,0.9834792265568876,0.27736700257211866,1.1296231048686332,Moderate,0.9834792265568876,0.724671015450622,-1.1873314249558296,-0.9840774812805301,-0.6919797750774959
South India,Maize,-1.0325685665146713,-1.6991911518631242,0.1879388356763327,-0.8737894486643278,1.6075485485307068,0.17151703347502364,Sprinkler,Mixed,1.3263119118627833,1.5197924257214528,-1.6909042237194876,-1.0960665531023013,Severe,1.5197924257214528,1.5315575154130203,-1.0373964580459247,-1.248263204631452,1.3375027661490615
Central USA,Cotton,-1.2584091013421521,-1.528242928371392,0.028868465129977455,0.1741086581468171,0.6238320949278177,-1.2545370984328137,Manual,Organic,1.7546920487416484,1.1026599374823465,-0.3138499238932337,1.4149679328136242,Moderate,1.1026599374823465,-0.035331139667623294,-0.7619771491945487,-1.4146711380358632,0.47577396407700956
East Africa,Cotton,-0.5976529514102218,0.36928235238684154,0.4705226704116225,0.7384892981259701,1.5166282647717186,-1.0533510383296334,Sprinkler,Inorganic,0.6166414550156721,-1.102183214638644,0.1491940026415201,0.33065758662265676,Moderate,-1.102183214638644,0.04857437246159959,-0.01156255919494363,-0.5181730853828705,1.5322486416911014
North India,Rice,-0.6578113471502933,-0.7760707450077675,1.4062307324490042,-1.5770498192369766,-0.9245471735993145,-0.8521649782264531,Sprinkler,Inorganic,-1.2454852992754657,-1.2213639255641031,1.3643401825926806,-0.696583793979313,Moderate,-1.2213639255641031,1.9287589358220862,-1.2365605687669947,-0.7776522859162612,0.1131084775623936
South USA,Wheat,-0.034530919154800874,-0.7076914556110744,-0.3042436049553302,-0.8809895942185271,0.1234287286753408,-0.23677232379319554,Drip,Inorganic,0.8691203675478174,-1.698086769265939,-1.4213556718638434,1.529105863991621,Moderate,-1.698086769265939,0.3215385028991651,-0.6223505471305057,-0.19534343773491186,-0.12369332556596174
East Africa,Wheat,0.982244589173289,-1.1521568366895805,0.13179635195408965,-0.29251615950032317,-0.7714182746368081,1.7455020919293172,Sprinkler,Mixed,1.141312348325716,-0.4466893045486199,-0.34053629593623824,-0.5824458628013163,Severe,-0.4466893045486199,-0.4110275159402429,0.3493564418547879,0.5942400253399219,-0.4744216670261405
Central USA,Cotton,1.1558163539315272,0.1299548394984148,-0.10774491192747977,-0.7346327893956703,-0.6176057645182188,1.650826298939585,Sprinkler,Mixed,1.177705705087106,1.5197924257214528,0.1171464910216867,0.38772655221165514,Severe,1.5197924257214528,-0.18395751645217365,0.018467194739018148,1.1725617721137012,-0.5038553795894269
South USA,Wheat,-0.9497274969709667,0.1299548394984148,1.660743325323172,-0.30677798627114083,0.6641651531366924,-1.3610473655462618,Sprinkler,Mixed,-1.0961208975672596,0.32798531646686335,-0.3417551241707158,-0.1258941380893301,Severe,0.32798531646686335,1.0116339666401089,-0.7572692900915516,-0.9090331124385361,1.8058152026396455
South India,Cotton,1.56706309202349,-0.7589759226585946,0.8298345662339769,-0.3851488013418475,-0.07345128427645324,-0.11842758255603053,Sprinkler,Mixed,-1.1431289833840554,0.1492142500786749,0.8116228864429638,0.9584162081016381,Severe,0.1492142500786749,0.08897712295201722,0.5826674178463295,1.2515829016037787,0.5179288683419275
Central USA,Soybean,-0.7298041813966077,-1.7333807965614716,0.9065626273210423,1.0756499601351055,0.26015095989186465,0.5502202054339512,Sprinkler,Inorganic,0.20115063198979932,0.32798531646686335,0.8681492420447542,-1.0960665531023013,Mild,0.32798531646686335,-0.3383974261670344,0.043102408704549254,-1.0031857275594906,0.8571715338228979
East Africa,Cotton,-0.8461761600413358,0.8992218452112123,-1.6479203820410115,0.7545511612853375,0.6880915435995847,1.0886887780630512,Sprinkler,Mixed,1.0670092449378772,0.08962389461594543,1.5566678686835145,1.2437610360466291,Severe,0.08962389461594543,-0.8480952432913718,-0.2113963123353549,-0.6858721364716894,-0.8206600121165988
North India,Soybean,1.4911254449417604,-1.6991911518631242,-1.2717657411019838,1.191406146352616,1.5931927142529723,-1.526730003278293,Manual,Inorganic,0.49002290128333487,-1.459725347415021,1.171211308711352,-0.6395148283903147,Severe,-1.459725347415021,-0.7670642924029433,2.209135195451946,0.8422350738383191,-0.04795724735233414
East Africa,Wheat,0.479280952657939,-0.9470189684995011,0.7512350890228372,-0.828650074613002,-0.9450555082817933,-1.4734748697215687,Drip,Mixed,0.7652476617913494,-1.1617735701013736,0.6333415565089081,-0.696583793979313,Moderate,-1.1617735701013736,0.10964328080480319,-0.3653469645956842,0.20953718193255189,-0.264181858743899
South USA,Rice,-0.808700438104898,-0.3487001862784357,0.7418780084024632,-1.2001498923421645,-1.1241616311754394,0.3727030935782039,Sprinkler,Mixed,0.6939773381336268,-1.2213639255641031,-0.9411203009308976,-1.666756208992284,Severe,-1.2213639255641031,0.6345212962866165,-1.0961902577735927,-0.8463385649256577,-0.4187314530271516
Central USA,Soybean,-1.1065338071786937,-0.24613125218339676,-0.5175850430998534,0.21052477893055532,0.46181625093623757,-0.28411022028806154,Manual,Inorganic,1.247459638879771,1.4602020702587233,-0.08531536829148227,-0.696583793979313,Moderate,1.4602020702587233,-0.31630965064395344,-0.6430214010031451,-1.1145276394490562,-0.05981752118355283
North India,Cotton,-0.7041628979664136,0.18123930654593504,0.756849337395061,0.7544126969477565,-1.5548366595074894,0.36086861945448717,Sprinkler,Inorganic,1.010144624998205,1.281431003870535,-0.5315513977745571,0.7301403457456447,Mild,1.281431003870535,-0.8343082115321105,-0.09247597052474439,-0.6575709550095848,-0.7712955430252557
North India,Wheat,-0.5858185129039785,-0.24613125218339676,0.3582377029671363,0.7117656809728845,-1.4140127613544702,-0.7456547111130049,Sprinkler,Organic,-0.9513056654542273,0.20880460554140437,-0.021944823373009188,1.0725541392796347,Severe,0.20880460554140437,-0.854813660116775,-0.01574726453114877,-0.6168948389453269,-0.8422781517388024
Central USA,Maize,1.124257851248211,-0.1435623180883563,-1.5281497501002261,0.7872287449543951,-0.9512080086865367,0.6093925760525339,Sprinkler,Mixed,-0.38872502551773525,-0.8042314373249967,0.09662244634600642,-0.8107217251573094,Severe,-0.8042314373249967,-1.167300011459286,1.4710751582237598,1.0511908007739728,-1.5131848961732126
Central USA,Wheat,0.6775077976375179,-0.1435623180883563,0.5079509928931176,1.4414727400234575,-0.6011990967722357,0.3727030935782039,Drip,Mixed,1.1739147304244615,0.6855274492432402,-0.3407152846979448,1.7003127607586161,Severe,0.6855274492432402,-0.8206522866151809,1.6487923785777605,0.6202293084312053,-0.12280512438575496
North India,Rice,1.410256781815763,-1.288915415482967,-0.11335916029970428,0.49756135073545826,0.8179776632552818,1.5679849800735692,Sprinkler,Mixed,0.8956571901863313,0.6855274492432402,-1.3951210333622883,-0.7536527595683113,Moderate,0.6855274492432402,-0.3633800260638563,1.412647632607277,0.920786437397456,0.49942401326012287
South India,Cotton,-0.11737198869850554,-0.9470189684995011,-0.45395689488131147,1.572183074699689,-0.46652769902395985,1.408219579403397,Manual,Organic,-0.2780285653685063,1.8177442030351003,1.1584860600814553,0.44479551780065346,Severe,1.8177442030351003,-0.9743819626530574,0.9273065510129412,-0.3240238487799594,-0.6128362703631186
North India,Maize,-0.811659047731459,-1.3231050601813126,0.30209521924489324,-1.5859115368421448,0.8931748904243705,-1.0592682753914915,Sprinkler,Organic,-0.5153435792500726,1.6389731366469118,0.2991695384028455,-1.267273449869296,Moderate,1.6389731366469118,2.9213406925317167,-1.277706561794729,-1.005083995550868,0.8981470821709575
South India,Wheat,0.630170043612544,-1.6650015071647783,-1.7545911011132729,0.9112927914267507,-0.9088241170094145,-0.6450616810614143,Sprinkler,Inorganic,-1.457779880383576,0.20880460554140437,-1.345251355041107,0.04531275867766499,Severe,0.20880460554140437,-1.2122487842297827,1.1568431788227425,0.13885513634233781,-1.6178627907808198
South USA,Soybean,-0.8875966948131883,0.3521875300376687,0.9103054595691917,1.3223934097040089,0.5301773665444994,-0.7219857628655718,Drip,Organic,1.7706141423247568,0.8047081601686992,-1.3646418042259794,0.33065758662265676,Severe,0.8047081601686992,-0.33870715345240854,0.008575239719436129,-0.8135214260708369,1.0922919283045072
South India,Maize,0.5029498296704262,0.24961859594262817,0.8541629758469487,-0.504781989011619,0.31962513047105284,-0.7456547111130049,Sprinkler,Organic,1.069283829735464,0.6855274492432402,0.48645996934279545,-0.2971010348563245,Severe,0.6855274492432402,0.48676174200075184,-0.09447657098570318,0.5600564289815807,0.869357016740951
South USA,Cotton,0.8668588137374145,-0.6735018109127285,-0.6410985072887879,-0.9410831167285743,1.537136599454198,0.6448959984236826,Sprinkler,Organic,-1.325095767191007,-0.1487375272349725,-1.4034994120650266,-1.495549312225289,Moderate,-0.1487375272349725,0.6712719182149931,-0.29878632741338657,0.6401337931905955,0.5112908589834828
North India,Cotton,-0.43098460911395897,0.5231357535294008,0.9982620174007061,1.181575178384382,0.7420968249301111,1.644909061877727,Manual,Inorganic,-1.283395045901914,-1.2213639255641031,0.5063021520691174,0.1594506898556617,Severe,-1.2213639255641031,-0.22557557920639676,0.377957940173036,-0.32015049572673665,1.3458424972754146
Central USA,Soybean,-0.8708312402626764,-0.28032089688174255,0.28899530637636983,0.8331989050312057,0.40302569151313233,0.6034753389906758,Drip,Mixed,1.5332991284431912,-1.698086769265939,-1.1176287897966222,-0.525376897212318,Mild,-1.698086769265939,-0.3643045232413704,-0.19644285424335559,-0.8945678671688352,0.5128438170111181
South India,Soybean,0.6173494018974467,-1.5111481060222192,0.9627051110432854,1.5406132057312767,-1.4085438721058088,0.08867571460900786,Sprinkler,Inorganic,-0.08923802716879414,-0.6254603709368083,0.727421458971599,1.3008300016356276,Mild,-0.6254603709368083,-0.9683892804527986,1.6704909271434878,0.1720844283252472,-0.5512172139121234
South India,Soybean,-1.4803048233342182,-1.4769584613238718,-0.1526588989052745,-0.355655897437147,0.35243846596301787,-0.3196136426592108,Sprinkler,Mixed,-1.2485180790055814,-0.6850507263995378,0.5795341254301829,-1.5526182778142874,Severe,-0.6850507263995378,0.1881681985906303,-1.0720479692023197,-1.5965990741775578,0.1435656129653847
East Africa,Wheat,-1.6252766950357016,-0.7247862779602487,-1.0209959804759654,-1.3483067335535712,-0.8486663352741438,-0.6273099698758399,Drip,Inorganic,0.9123374787019684,-0.3275085936231609,0.08301930045631127,1.0154851736906365,Severe,-0.3275085936231609,0.3283191509170713,-1.409869729698841,-1.6527553071925098,-1.179016528017731
South USA,Wheat,-0.14597188175526066,-0.1777519627867036,-1.5187926694798528,-0.7396175055485772,-0.25529185179443026,-0.35511706503036056,Sprinkler,Inorganic,-1.2439689094104078,-1.1617735701013736,0.9992372018088589,-0.4683079316233196,Severe,-1.1617735701013736,-0.470968859027716,-0.5787577002949632,-0.18161386364007953,-1.1723530276837104
North India,Rice,-0.14794428817296787,-0.38288983097678303,-1.5169212533557777,1.1900215029768082,0.8268646082843565,-1.0060131418347673,Sprinkler,Organic,0.1048598755586208,0.1492142500786749,-1.0716457245867816,1.0725541392796347,Mild,0.1492142500786749,-0.9111215926328716,0.6514651995019775,-0.22827137044136964,-0.648757037913864
South India,Wheat,-1.1459819355328384,-1.0837775472928874,0.44432284467457567,0.8081368599290892,0.5185559768910948,-1.1657785425049403,Sprinkler,Inorganic,0.9373579114754246,0.8047081601686992,1.4180112412815342,-1.2102044842802975,Severe,0.8047081601686992,-0.2589948679467047,-0.44210950257566933,-1.2617460777499732,0.7213902677518124
South USA,Cotton,0.5276049098917669,0.9676011346079054,0.4031516899449304,-0.6050301694200845,-1.4687016538410795,-0.1539310049271803,Drip,Organic,-0.3788684913948588,0.6855274492432402,1.2137765409000343,-0.1258941380893301,Severe,0.6855274492432402,-0.4190455497718658,-0.16308395587823404,0.783852623031145,-0.8637495191032003
South USA,Soybean,0.5976253377203745,-0.6564069885635556,-0.0310168508404144,-1.3010903944385341,-1.5110855455182017,-1.4261369732267029,Manual,Mixed,-1.349358005031934,-1.6384964138032094,-0.8880884878195676,0.38772655221165514,Moderate,-1.6384964138032094,-0.05468192598067884,-0.7058602048036725,0.39776411785263793,-1.0959631457762204
Central USA,Maize,-0.314612630469231,0.8992218452112123,0.7306495116580142,-1.6421280578999309,0.4337881935368504,-0.6036410216284068,Manual,Organic,0.26711359111981936,-0.8042314373249967,0.7347088585553645,-1.2102044842802975,Severe,-0.8042314373249967,2.8394359817802672,-1.1927653947574162,-0.12452400776866822,0.8725720660354043
East Africa,Rice,1.5128219155365408,-0.6905966332619015,0.6445643699505755,0.4686223041810807,-1.2813921970744417,0.7218200802278403,Drip,Inorganic,0.27014637084993515,-0.5062796600113494,1.0396801386801642,1.7003127607586161,Severe,-0.5062796600113494,-0.7750491044903458,1.4610538579573498,1.2270546201027461,-0.598016653586186
South USA,Soybean,-0.4033709192660573,-0.5025535874209949,-1.135152364044526,-1.081901348048201,1.5166282647717186,-0.0651724489993064,Sprinkler,Organic,-1.108252016487723,1.2218406484078055,-1.3879018199734592,-1.6096872434032858,Moderate,1.2218406484078055,0.7495798228065232,-0.8918662268366572,-0.4927466350579019,0.03919361006468302
East Africa,Rice,0.4092605248293314,-1.2205361260862737,-1.1332809479204509,0.5749629154430997,0.413279858854371,1.414136816465255,Sprinkler,Organic,-0.23481145421435556,-0.8638217927877262,1.5729047063526056,-0.18296310367832844,Mild,-0.8638217927877262,-0.7457855842862668,0.7002824467508175,0.07388562174251671,-0.5575600855689837
Central USA,Cotton,1.4684427711381272,-1.0837775472928874,0.7287780955339398,0.15112357810841204,-0.2163260158977209,0.940757851516595,Sprinkler,Mixed,0.16324088536335107,-1.0425928591759146,0.9990241199496844,-0.06882517250033172,Moderate,-1.0425928591759146,-0.2881141776934174,1.0930676103525252,1.0448918009955812,0.33006017920259917
East Africa,Wheat,0.8037418083707822,0.010291083054202921,-1.3447509699408997,-1.5330181598862969,-1.1740652455694705,-0.19535166436018767,Sprinkler,Inorganic,-1.3235793773259492,-0.089147171772243,1.28325827353963,-0.4683079316233196,Severe,-0.089147171772243,-0.21652696770843102,-0.8462402770423721,0.7884025572050295,-1.5266532920963989
North India,Maize,-0.8767484595157985,-0.6564069885635556,-1.4401931922687123,0.650702908099772,-0.5765890951532615,-1.2722888096183886,Drip,Inorganic,1.4931147970191558,1.400611714795994,-1.2595327847324203,-1.438480346636291,Moderate,1.400611714795994,-1.0015699918596366,-0.283876462553075,-0.9582492185869589,-1.2798787422188875
South India,Rice,0.2425921825330686,0.7282736217194802,0.16548184218743536,-1.438447017318642,-0.7372377168326771,-0.7219857628655718,Drip,Organic,-0.20448365691319678,-1.5193157028777504,-1.35477185250902,0.04531275867766499,Mild,-1.5193157028777504,0.7713480472061411,-0.9177230309126222,0.4207516261902414,-0.4296455735383789
South India,Maize,-0.17062696197660132,0.3521875300376687,-0.9105824291555543,-0.3814102642271674,0.5486348677587299,-1.4912265809071437,Manual,Organic,1.615942376088848,1.2218406484078055,1.636812217556198,0.44479551780065346,Moderate,1.2218406484078055,-0.18465894196701055,-0.36352052714222155,-0.09074517828163968,-0.3106174545712724
Central USA,Wheat,-0.41915017060771537,-1.5111481060222192,-0.9087110130314793,0.45131426198348645,-1.3682108138969344,0.27211006352661377,Manual,Organic,-1.4850748979546187,1.3410213593332645,0.4587678509244877,-1.0960665531023013,Mild,1.3410213593332645,-1.0264273865220033,-0.025999336030473486,-0.7035769939632506,-1.4159312482019557
North India,Cotton,-1.5246839677326316,-1.066682724943713,1.1498467234507619,1.242914879932656,-0.643582988449358,-0.6923995775562802,Sprinkler,Mixed,-0.021758678173716222,0.6855274492432402,-1.081191791877796,0.5018644833896512,Moderate,0.6855274492432402,-0.5779474039882312,-0.6405832588443657,-1.5941970634740719,0.2243970982186503
